name,type,customers,customers__002,customers__003,nationality,mass,manufacturer,reused,dragon__capsule,dragon__mass_returned_kg,dragon__mass_returned_lbs,dragon__flight_time_sec,dragon__manifest,dragon__water_landing,dragon__land_landing,launch,mass_kg,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id,norad_ids__-,norad_ids
DSX,Satellite,USAF,,,United States,1323,Sierra Nevada Corporation,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,600,MEO,geocentric,medium-earth,null,15397.815,0.1973349,5981.153,12058.206,42.3292,316.919,null,2021-01-12T04:33:43.000Z,4.5437466,356.2116,243.7372,94.7231,5eb0e4ccb6c3bb0006eeb23a,44344,
COSMIC-2,Satellite,NOAA,NASA,Taiwan,United States,3677,National Space Organization,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,1668,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4ccb6c3bb0006eeb23b,,
GPIM,Satellite,NASA,,,United States,396,Ball Aerospace & Technologies Corp,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,180,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4ccb6c3bb0006eeb23c,,
Oculus-ASR,Satellite,Michigan Tech,,,United States,154,Michigan Tech,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,70,LEO,geocentric,low-earth,null,6746.92,0.0140242,274.165,463.405,28.5101,91.921,null,2021-01-13T04:29:51.000Z,15.66550405,323.3315,227.4151,131.4548,5eb0e4ccb6c3bb0006eeb23d,44356,
OTB 1,Satellite,General Atomics,,,United States,304,Surrey Satellite Technology-US LLC,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,138,LEO,geocentric,low-earth,null,7094.375,0.0011655,707.972,724.509,23.9966,99.113,null,2021-01-13T00:25:52.000Z,14.52885878,233.2236,276.4199,83.4965,5eb0e4ccb6c3bb0006eeb23e,44341,
NPSAT 1,Satellite,Naval Postgrad School,,,United States,189,Naval Postgrad School,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,86,LEO,geocentric,low-earth,null,7094.64,0.0011198,708.561,724.45,23.9993,99.118,null,2021-01-12T21:58:08.000Z,14.52804406,234.4562,272.2805,87.6404,5eb0e4cdb6c3bb0006eeb23f,44340,
Prox-1,Satellite,Georgia Tech,,,United States,156,Georgia Tech,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,71,LEO,geocentric,low-earth,null,7092.958,0.0011213,706.87,722.777,23.9991,99.083,null,2021-01-13T06:27:27.000Z,14.5332118,231.377,283.3786,76.5456,5eb0e4cdb6c3bb0006eeb240,44339,
LightSail-B,Satellite,Planetary Society,,,United States,11,Planetary Society,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,5,LEO,geocentric,low-earth,null,7092.958,0.0011213,706.87,722.777,23.9991,99.083,null,2021-01-13T06:27:27.000Z,14.5332118,231.377,283.3786,76.5456,5eb0e4cdb6c3bb0006eeb241,44339,
ARMADILLO,Satellite,University of Texas,,,United States,9,University of Texas,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,4,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4cdb6c3bb0006eeb242,,
FalconSat 7,Satellite,USAF Academy,,,United States,11,USAF Academy,FALSE,null,null,null,null,null,null,null,5eb87d35ffd86e000604b37a,5,LEO,geocentric,low-earth,null,null,null,null,null,null,null,null,null,null,null,null,null,5eb0e4cdb6c3bb0006eeb243,,
